name,region,date,value
Number of applications for consumer loans,Astrahanskaya oblast,2013-09-15,7362
Number of applications for consumer loans,Astrahanskaya oblast,2013-10-15,8823
Number of applications for consumer loans,Astrahanskaya oblast,2013-11-15,9187
Number of applications for consumer loans,Astrahanskaya oblast,2013-12-15,10298
Number of applications for consumer loans,Astrahanskaya oblast,2014-01-15,4800
Number of applications for consumer loans,Astrahanskaya oblast,2014-02-15,7510
Number of applications for consumer loans,Astrahanskaya oblast,2014-03-15,7541
Number of applications for consumer loans,Astrahanskaya oblast,2014-04-15,9190
Number of applications for consumer loans,Astrahanskaya oblast,2014-05-15,8361
Number of applications for consumer loans,Astrahanskaya oblast,2014-06-15,8864
Number of applications for consumer loans,Astrahanskaya oblast,2014-07-15,10465
Number of applications for consumer loans,Astrahanskaya oblast,2014-08-15,9844
Number of applications for consumer loans,Astrahanskaya oblast,2014-09-15,8431
Number of applications for consumer loans,Astrahanskaya oblast,2014-10-15,8520
Number of applications for consumer loans,Astrahanskaya oblast,2014-11-15,7610
Number of applications for consumer loans,Astrahanskaya oblast,2014-12-15,8915
Number of applications for consumer loans,Astrahanskaya oblast,2015-01-15,2781
Number of applications for consumer loans,Astrahanskaya oblast,2015-02-15,3213
Number of applications for consumer loans,Astrahanskaya oblast,2015-03-15,3840
Number of applications for consumer loans,Astrahanskaya oblast,2015-04-15,4902
Number of applications for consumer loans,Astrahanskaya oblast,2015-05-15,4375
Number of applications for consumer loans,Astrahanskaya oblast,2015-06-15,8679
Number of applications for consumer loans,Astrahanskaya oblast,2015-07-15,9103
Number of applications for consumer loans,Astrahanskaya oblast,2015-08-15,8590
Number of applications for consumer loans,Astrahanskaya oblast,2015-09-15,7594
Number of applications for consumer loans,Astrahanskaya oblast,2015-10-15,7259
Number of applications for consumer loans,Astrahanskaya oblast,2015-11-15,6534
Number of applications for consumer loans,Astrahanskaya oblast,2015-12-15,9310
Number of applications for consumer loans,Astrahanskaya oblast,2016-01-15,5659
Number of applications for consumer loans,Astrahanskaya oblast,2016-02-15,6134
Number of applications for consumer loans,Astrahanskaya oblast,2016-03-15,6780
Number of applications for consumer loans,Astrahanskaya oblast,2016-04-15,7637
Number of applications for consumer loans,Astrahanskaya oblast,2016-05-15,7396
Number of applications for consumer loans,Astrahanskaya oblast,2016-06-15,8574
Number of applications for consumer loans,Astrahanskaya oblast,2016-07-15,9088
Number of applications for consumer loans,Astrahanskaya oblast,2016-08-15,10644
Number of applications for consumer loans,Astrahanskaya oblast,2016-09-15,8827
Number of applications for consumer loans,Astrahanskaya oblast,2016-10-15,8274
Number of applications for consumer loans,Astrahanskaya oblast,2016-11-15,9053
Number of applications for consumer loans,Astrahanskaya oblast,2016-12-15,10881
Number of applications for consumer loans,Astrahanskaya oblast,2017-01-15,6699
Number of applications for consumer loans,Astrahanskaya oblast,2017-02-15,6458
Number of applications for consumer loans,Astrahanskaya oblast,2017-03-15,8035
Number of applications for consumer loans,Astrahanskaya oblast,2017-04-15,6407
Number of applications for consumer loans,Belgorodskaya oblast,2013-01-15,9425
Number of applications for consumer loans,Belgorodskaya oblast,2013-02-15,9003
Number of applications for consumer loans,Belgorodskaya oblast,2013-03-15,10747
Number of applications for consumer loans,Belgorodskaya oblast,2013-04-15,12898
Number of applications for consumer loans,Belgorodskaya oblast,2013-05-15,12863
Number of applications for consumer loans,Belgorodskaya oblast,2013-06-15,11062
Number of applications for consumer loans,Belgorodskaya oblast,2013-07-15,13564
Number of applications for consumer loans,Belgorodskaya oblast,2013-08-15,14081
Number of applications for consumer loans,Belgorodskaya oblast,2013-09-15,12738
Number of applications for consumer loans,Belgorodskaya oblast,2013-10-15,15292
Number of applications for consumer loans,Belgorodskaya oblast,2013-11-15,14728
Number of applications for consumer loans,Belgorodskaya oblast,2013-12-15,15537
Number of applications for consumer loans,Belgorodskaya oblast,2014-01-15,8862
Number of applications for consumer loans,Belgorodskaya oblast,2014-02-15,12436
Number of applications for consumer loans,Belgorodskaya oblast,2014-03-15,12949
Number of applications for consumer loans,Belgorodskaya oblast,2014-04-15,15110
Number of applications for consumer loans,Belgorodskaya oblast,2014-05-15,14773
Number of applications for consumer loans,Belgorodskaya oblast,2014-06-15,14351
Number of applications for consumer loans,Belgorodskaya oblast,2014-07-15,14982
Number of applications for consumer loans,Belgorodskaya oblast,2014-08-15,14751
Number of applications for consumer loans,Belgorodskaya oblast,2014-09-15,12754
Number of applications for consumer loans,Belgorodskaya oblast,2014-10-15,12943
Number of applications for consumer loans,Belgorodskaya oblast,2014-11-15,10698
